time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-23T17:12:14.997Z,23.735,121.5936,7.881,4,mwr,44,88,0.436,0.66,us,us6000mt8y,2024-04-23T18:15:54.040Z,"26 km S of Hualien City, Taiwan",earthquake,2.9,5.194,0.069,20,reviewed,us,us
2024-04-23T16:02:21.245Z,24.0619,121.7117,7.473,4.9,mb,122,44,0.678,0.53,us,us6000mt7l,2024-04-23T17:00:10.040Z,"14 km NE of Hualien City, Taiwan",earthquake,2.73,3.524,0.053,118,reviewed,us,us
2024-04-23T12:40:51.668Z,23.7051,121.6597,10,4.4,mwr,70,39,0.456,0.68,us,us6000mt6n,2024-04-23T14:18:15.040Z,"30 km S of Hualien City, Taiwan",earthquake,5.24,1.651,0.089,12,reviewed,us,us
2024-04-23T05:08:05.896Z,23.7091,121.6223,10,4.7,mb,32,89,0.434,1.09,us,us6000mt4m,2024-04-23T05:42:31.040Z,"29 km S of Hualien City, Taiwan",earthquake,2.84,1.903,0.09,37,reviewed,us,us
2024-04-23T02:21:00.008Z,23.8333,121.6102,10,5.2,mwr,67,63,0.524,0.65,us,us6000mt40,2024-04-23T23:47:21.223Z,"15 km S of Hualien City, Taiwan",earthquake,1.77,1.804,0.068,21,reviewed,us,us
2024-04-23T01:45:45.879Z,23.7826,121.593,10,4.9,mwr,74,80,0.474,0.52,us,us6000mt3y,2024-04-23T23:33:02.040Z,"21 km S of Hualien City, Taiwan",earthquake,2.43,1.627,0.065,23,reviewed,us,us
2024-04-23T01:22:43.553Z,23.8391,121.5765,10,4.7,mb,65,39,0.513,0.53,us,us6000mt3z,2024-04-23T04:50:51.040Z,"15 km S of Hualien City, Taiwan",earthquake,3.03,1.808,0.077,51,reviewed,us,us
2024-04-23T01:19:33.210Z,23.8235,121.5953,12.193,4.6,mb,47,37,0.509,0.6,us,us6000mt3t,2024-04-23T04:25:02.040Z,"17 km S of Hualien City, Taiwan",earthquake,2.67,4.526,0.095,33,reviewed,us,us
2024-04-23T00:11:02.661Z,23.8982,121.5981,13.296,5.2,mb,43,78,0.574,0.65,us,us6000mt3i,2024-04-23T00:56:39.901Z,"8 km S of Hualien City, Taiwan",earthquake,3.1,3.849,0.06,92,reviewed,us,us
2024-04-23T00:04:05.608Z,23.8026,121.6764,13.118,5.8,mww,64,30,0.536,0.96,us,us6000mt3f,2024-04-24T00:10:48.034Z,"20 km SSE of Hualien City, Taiwan",earthquake,3.2,4.606,0.065,23,reviewed,us,us
